date,open,high,low,close,volume
9/8/03,10580,10740,10560,10680,
9/9/03,10800,10950,10780,10940,
9/10/03,10860,10950,10830,10840,
9/11/03,10690,10730,10530,10550,
9/12/03,10660,10730,10580,10710,
9/16/03,10780,10900,10740,10900,
9/17/03,11090,11090,10930,10940,
9/18/03,10880,11080,10840,11080,
9/19/03,11150,11150,10900,10920,
9/22/03,10680,10730,10370,10440,
9/24/03,10520,10640,10340,10460,
9/25/03,10250,10380,10220,10270,
9/26/03,10180,10370,10170,10320,
9/29/03,10280,10300,10140,10170,
9/30/03,10300,10420,10230,10250,
10/1/03,10220,10390,10160,10360,
10/2/03,10500,10680,10460,10670,
10/3/03,10620,10740,10580,10720,
10/6/03,10890,10920,10720,10760,
10/7/03,10780,10880,10690,10880,
10/8/03,10750,10800,10480,10480,
10/9/03,10530,10600,10470,10510,
10/10/03,10590,10860,10570,10760,
10/14/03,10900,11040,10880,10980,
10/15/03,11020,11030,10850,10880,
10/16/03,10890,11040,10830,11010,
10/17/03,11070,11130,10980,10990,
10/20/03,10940,11220,10870,11140,
10/21/03,11240,11250,10990,11030,
10/22/03,11060,11060,10840,10850,
10/23/03,10640,10650,10250,10250,
10/24/03,10400,10480,10180,10390,
10/27/03,10370,10490,10350,10440,
10/28/03,10470,10600,10450,10500,
10/29/03,10700,10820,10660,10720,
10/30/03,10680,10770,10630,10660,
10/31/03,10720,10780,10510,10570,
11/4/03,10860,10890,10780,10870,
11/5/03,10810,10850,10660,10830,
11/6/03,10810,10820,10490,10510,
11/7/03,10570,10640,10470,10640,
11/10/03,10560,10620,10470,10530,
11/11/03,10350,10380,10100,10220,
11/12/03,10250,10330,10150,10220,
11/13/03,10430,10440,10270,10320,
11/14/03,10360,10360,10160,10170,
11/17/03,9960,9970,9730,9740,
11/18/03,9790,9910,9690,9880,
11/19/03,9680,9740,9590,9600,
11/20/03,9760,9890,9650,9860,
11/21/03,9770,9900,9750,9840,
11/25/03,10060,10070,9950,10000,
11/26/03,9980,10170,9970,10140,
11/27/03,10140,10180,10070,10150,
11/28/03,10150,10150,10030,10120,
12/1/03,9960,10450,9900,10390,
12/2/03,10490,10550,10370,10380,
12/3/03,10420,10480,10310,10330,
12/4/03,10340,10450,10330,10430,
12/5/03,10400,10460,10320,10390,
12/8/03,10250,10270,10010,10070,
12/9/03,10110,10160,10000,10120,
12/10/03,10000,10010,9850,9950,
12/11/03,9990,10090,9950,10070,
12/12/03,10220,10230,10090,10160,
12/15/03,10500,10510,10380,10450,
12/16/03,10220,10290,10190,10240,
12/17/03,10280,10280,10050,10100,
